timestamp;x;y;z,
8,41567E+12;-0.272939;0.56982;9.605.537
8,41568E+12;-0.24420857;0.5746084;9.610.326
8,41569E+12;-0.2825158;0.62728083;9.586.384
8,4157E+12;-0.2633622;0.60333884;9.629.479
8,41571E+12;-0.23942018;0.60333884;9.615.114
8,41572E+12;-0.24420857;0.5793968;9.600.749
8,41573E+12;-0.22984336;0.641646;9.600.749
8,41574E+12;-0.20111294;0.60333884;9.619.903
8,41575E+12;-0.24420857;0.63206923;9.610.326
8,41576E+12;-0.23463176;0.59855044;9.586.384
8,41577E+12;-0.25378537;0.60812724;9.562.442
8,41578E+12;-0.21068975;0.5746084;9.605.537
8,41579E+12;-0.22026655;0.5746084;9.552.865
8,4158E+12;-0.22984336;0.59855044;9.548.077
8,41581E+12;-0.2633622;0.59855044;9.615.114
8,41582E+12;-0.24899697;0.6368576;9.552.865
8,41583E+12;-0.22984336;0.62249243;9.610.326
8,41584E+12;-0.2681506;0.62728083;9.624.691
8,41585E+12;-0.22026655;0.62249243;9.629.479
8,41586E+12;-0.272939;0.58418524;956.723
8,41587E+12;-0.23463176;0.62728083;9.615.114
8,41588E+12;-0.23463176;0.5650316;9.586.384
8,41589E+12;-0.21547815;0.61291564;9.634.268
8,4159E+12;-0.2681506;0.60812724;956.723
8,41591E+12;-0.25857377;0.5602432;9.624.691
8,41592E+12;-0.22505496;0.56982;95.385
8,41593E+12;-0.22505496;0.58897364;9.552.865
8,41594E+12;-0.23942018;0.61770403;9.562.442
8,41595E+12;-0.22505496;0.62249243;9.634.268
8,41596E+12;-0.25378537;0.6607997;9.624.691
8,41597E+12;-0.22984336;0.62728083;956.723
8,41598E+12;-0.29688102;0.60812724;9.619.903
8,41599E+12;-0.23942018;0.5793968;9.624.691
8,416E+12;-0.2873042;0.58897364;9.605.537
8,41601E+12;-0.23463176;0.6368576;9.615.114
8,41602E+12;-0.24899697;0.60333884;9.610.326
8,41603E+12;-0.21547815;0.60333884;9.572.019
8,41604E+12;-0.19632454;0.6368576;9.533.711
8,41605E+12;-0.21068975;0.62728083;9.591.172
8,41606E+12;-0.23942018;0.61291564;9.576.807
8,41607E+12;-0.23942018;0.62728083;9.581.595
8,41608E+12;-0.22984336;0.63206923;9.572.019
8,41609E+12;-0.22984336;0.6607997;9.591.172
8,4161E+12;-0.2681506;0.6464345;9.595.961
8,41611E+12;-0.24420857;0.60812724;9.615.114
8,41612E+12;-0.24420857;0.61770403;9.581.595
8,41613E+12;-0.24899697;0.61291564;9.562.442
8,41614E+12;-0.24420857;0.62249243;9.615.114
8,41615E+12;-0.23942018;0.63206923;9.610.326
8,41616E+12;-0.20111294;0.60333884;9.576.807
8,41617E+12;-0.20590134;0.6799533;9.581.595
8,41618E+12;-0.25857377;0.61770403;9.586.384
8,41619E+12;-0.22505496;0.641646;9.543.288
8,4162E+12;-0.20111294;0.60333884;9.634.268
8,41621E+12;-0.2633622;0.6464345;9.600.749
8,41622E+12;-0.22505496;0.6607997;9.624.691
8,41623E+12;-0.22505496;0.59376204;9.595.961
8,41624E+12;-0.2633622;0.6560113;9.605.537
8,41625E+12;-0.19632454;0.62728083;9.595.961
8,41626E+12;-0.24899697;0.59376204;9.581.595
8,41627E+12;-0.22984336;0.59855044;9.591.172
8,41628E+12;-0.20590134;0.61770403;9.591.172
8,41629E+12;-0.23463176;0.6560113;9.634.268
8,4163E+12;-0.272939;0.60812724;9.610.326
8,41631E+12;-0.19153613;0.59855044;956.723
8,41632E+12;-0.24420857;0.63206923;9.581.595
8,41633E+12;-0.24899697;0.5602432;9.648.633
8,41634E+12;-0.22026655;0.59855044;9.591.172
8,41635E+12;-0.2873042;0.60812724;9.572.019
8,41636E+12;-0.23463176;0.59376204;9.576.807
8,41637E+12;-0.23463176;0.641646;9.643.845
8,41638E+12;-0.25857377;0.6464345;9.600.749
8,41639E+12;-0.2681506;0.6368576;9.600.749
8,4164E+12;-0.24420857;0.60812724;9.591.172
8,41641E+12;-0.24899697;0.62728083;9.600.749
8,41642E+12;-0.2873042;0.58897364;9.615.114
8,41643E+12;-0.22984336;0.6368576;9.634.268
8,41644E+12;-0.22026655;0.6368576;9.586.384
8,41645E+12;-0.22026655;0.61291564;9.581.595
8,41646E+12;-0.25857377;0.6560113;9.514.558
8,41647E+12;-0.24899697;0.59376204;9.581.595
8,41648E+12;-0.23942018;0.63206923;9.581.595
8,41649E+12;-0.23942018;0.6512229;9.634.268
8,4165E+12;-0.22026655;0.62728083;9.572.019
8,41651E+12;-0.272939;0.6368576;9.595.961
8,41652E+12;-0.22984336;0.6464345;9.586.384
8,41653E+12;-0.2777274;0.6464345;9.572.019
8,41654E+12;-0.24420857;0.6368576;9.586.384
8,41654E+12;-0.25378537;0.62249243;9.356.541
8,41656E+12;-0.23942018;0.641646;10.342.952
8,41657E+12;-0.23463176;0.641646;9.552.865
8,41658E+12;-0.20590134;0.61291564;9.706.094
8,41658E+12;-0.24420857;0.6512229;9.581.595
8,4166E+12;-0.2681506;0.63206923;9.203.311
8,4166E+12;-0.24899697;0.63206923;9.993.398
8,41661E+12;-0.2681506;0.60333884;9.816.227
8,41662E+12;-0.2681506;0.6560113;9.643.845
8,41663E+12;-0.16280572;0.61770403;9.461.885
8,41664E+12;-0.25857377;0.62249243;9.476.251
8,41665E+12;-0.20590134;0.60333884;9.720.459
8,41666E+12;-0.22505496;0.61291564;977.792
8,41667E+12;-0.23463176;0.58897364;9.543.288
8,41668E+12;-0.22984336;0.5554548;9.528.923
8,41669E+12;-0.2681506;0.63206923;9.548.077
8,4167E+12;-0.21547815;0.61291564;968.694
8,41671E+12;-0.272939;0.63206923;9.753.978
8,41672E+12;-0.272939;0.6799533;9.710.882
8,41673E+12;-0.25857377;0.63206923;9.610.326
8,41674E+12;-0.24420857;0.6895301;9.572.019
8,41675E+12;-0.2777274;0.6607997;9.548.077
8,41676E+12;-0.21068975;0.62728083;9.653.421
8,41677E+12;-0.2681506;0.5650316;9.653.421
8,41678E+12;-0.23463176;0.59855044;956.723
